username,profile_uri,comment_date,hotel_name
Lau CH,https://www.tripadvisor.com.tw/Profile/881lauch,2019年4月,皇家季節酒店台北南西館Royal Seasons Hotel Taipei Nanjing West
Stephanie A,https://www.tripadvisor.com.tw/Profile/StephanieA3388,2019年4月,皇家季節酒店台北南西館Royal Seasons Hotel Taipei Nanjing West
Faraday Shiu,https://www.tripadvisor.com.tw/Profile/FaradayShiu,2019年3月,皇家季節酒店台北南西館Royal Seasons Hotel Taipei Nanjing West
prussia1,https://www.tripadvisor.com.tw/Profile/prussia1,2019年3月,皇家季節酒店台北南西館Royal Seasons Hotel Taipei Nanjing West
TanPris,https://www.tripadvisor.com.tw/Profile/TanPris,2019年2月,皇家季節酒店台北南西館Royal Seasons Hotel Taipei Nanjing West
Simon C,https://www.tripadvisor.com.tw/Profile/183simonc,2019年6月,松哖酒店 (大安)Sonnien Hotel
YLIMNELL,https://www.tripadvisor.com.tw/Profile/YLIMNELL,2019年5月,松哖酒店 (大安)Sonnien Hotel
Kevin Ng,https://www.tripadvisor.com.tw/Profile/361kevinn,2019年5月,松哖酒店 (大安)Sonnien Hotel
Kapo W,https://www.tripadvisor.com.tw/Profile/kapo012,2019年4月,松哖酒店 (大安)Sonnien Hotel
　xum1,https://www.tripadvisor.com.tw/Profile/xum111,2019年4月,松哖酒店 (大安)Sonnien Hotel
lookingaroundfornow,https://www.tripadvisor.com.tw/Profile/lookingaroundfornow,2019年4月,台北商旅大安館Les Suites Taipei Da-An
yoyo0130,https://www.tripadvisor.com.tw/Profile/yoyo0130,2019年3月,台北商旅大安館Les Suites Taipei Da-An
Jack,https://www.tripadvisor.com.tw/Profile/j2610153899,2019年2月,台北商旅大安館Les Suites Taipei Da-An
Brian F,https://www.tripadvisor.com.tw/Profile/S2942NYbrianf,2019年1月,台北商旅大安館Les Suites Taipei Da-An
DeniseYing,https://www.tripadvisor.com.tw/Profile/DeniseYing,2018年12月,台北商旅大安館Les Suites Taipei Da-An
江南有丹橘,https://www.tripadvisor.com.tw/Profile/SteppingOrange,8月4日,東吳大飯店 (大同)Dong Wu Hotel
AprilandMay,https://www.tripadvisor.com.tw/Profile/AprilandMay1986,2018年11月,東吳大飯店 (大同)Dong Wu Hotel
LiuYiChang,https://www.tripadvisor.com.tw/Profile/LiuYiChang,2018年10月,東吳大飯店 (大同)Dong Wu Hotel
제시지영,https://www.tripadvisor.com.tw/Profile/Escape810504,2018年9月,東吳大飯店 (大同)Dong Wu Hotel
HoHo2012,https://www.tripadvisor.com.tw/Profile/HoHo2012,2018年6月,東吳大飯店 (大同)Dong Wu Hotel
NS_恩斯,https://www.tripadvisor.com.tw/Profile/NS_HSU,2019年7月,台北北投雅樂軒酒店Aloft Taipei Beitou
Fanny C,https://www.tripadvisor.com.tw/Profile/threec39,2019年7月,台北北投雅樂軒酒店Aloft Taipei Beitou
Sheeplee1987,https://www.tripadvisor.com.tw/Profile/Sheeplee1987,2019年6月,台北北投雅樂軒酒店Aloft Taipei Beitou
Vivianne T,https://www.tripadvisor.com.tw/Profile/VivianneT,2019年5月,台北北投雅樂軒酒店Aloft Taipei Beitou
Wang M,https://www.tripadvisor.com.tw/Profile/WangM230,2019年5月,台北北投雅樂軒酒店Aloft Taipei Beitou
Larry Li,https://www.tripadvisor.com.tw/Profile/oksalemcreek,2019年6月,捷絲旅臺大尊賢館 (大安)Just Sleep @ NTU
嘉勵 洪,https://www.tripadvisor.com.tw/Profile/Culture398320,2019年3月,捷絲旅臺大尊賢館 (大安)Just Sleep @ NTU
JOJO8129,https://www.tripadvisor.com.tw/Profile/JOJO8129,2019年2月,捷絲旅臺大尊賢館 (大安)Just Sleep @ NTU
Nimrip,https://www.tripadvisor.com.tw/Profile/Nimrip,2019年1月,捷絲旅臺大尊賢館 (大安)Just Sleep @ NTU
concerned167,https://www.tripadvisor.com.tw/Profile/concerned167,2018年12月,捷絲旅臺大尊賢館 (大安)Just Sleep @ NTU
Liliana832081,https://www.tripadvisor.com.tw/Profile/Liliana832081,2019年7月,城市商旅南西館 (大同)City Suites Taipei Nanxi
Annie,https://www.tripadvisor.com.tw/Profile/Climber638710,2019年7月,城市商旅南西館 (大同)City Suites Taipei Nanxi
toasty24,https://www.tripadvisor.com.tw/Profile/toasty24,2019年5月,城市商旅南西館 (大同)City Suites Taipei Nanxi
Dom D,https://www.tripadvisor.com.tw/Profile/domd2018,2019年4月,城市商旅南西館 (大同)City Suites Taipei Nanxi
Toby H,https://www.tripadvisor.com.tw/Profile/tobyh940,2019年2月,城市商旅南西館 (大同)City Suites Taipei Nanxi
噹啃紅不嚷,https://www.tripadvisor.com.tw/Profile/Duncanwu,昨天,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian
Crystal L,https://www.tripadvisor.com.tw/Profile/579crystall,昨天,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian
uniandkuri,https://www.tripadvisor.com.tw/Profile/uniandkuri,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian
Ken,https://www.tripadvisor.com.tw/Profile/chan_kin_ip,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian
cindra,https://www.tripadvisor.com.tw/Profile/cindra65,2019年7月,福泰桔子商務旅館 - 館前店 (中正區)Orange Hotel - Guanqian
