username,profile_uri,comment_date,hotel_name,UID
" eeLB2015Hong Kong, China927", ,住宿日期： 2019年7月,台北天成大飯店 (中正區) Cosmos Hotel Taipei,UID_F4496AF7A1BFFCC19F53FC1596964B0C-SRC_691200763
 MrxandMrsx香港819, ,住宿日期： 2019年7月,台北天成大飯店 (中正區) Cosmos Hotel Taipei,UID_6795AF11F457B71AD09E99236EBFF981-SRC_691187119
 konglinghuashi上海地區上海16, ,住宿日期： 2018年10月,台北天成大飯店 (中正區) Cosmos Hotel Taipei,UID_F272EA28828EB089594DE0149EEB799E-SRC_688855107
 peichieh920台灣台北333, ,住宿日期： 2019年6月,圓山大飯店 (中山區) Grand Hotel Taipei,UID_80E99021060C6EC71FBC853CA24AB415-SRC_686448200
 lgmalice0403台灣桃園326, ,住宿日期： 2019年7月,圓山大飯店 (中山區) Grand Hotel Taipei,UID_5C183D68441FBFCFA7F55DA42BFEEF5D-SRC_685756920
 FSTaipei敘利亞大馬士革2528, ,住宿日期： 2019年6月,圓山大飯店 (中山區) Grand Hotel Taipei,UID_1D6A24EE35E7751385476BA574677219-SRC_684458980
 NoCountryForOldMan台灣台北9111, ,住宿日期： 2019年6月,圓山大飯店 (中山區) Grand Hotel Taipei,UID_B6ABA45BD78BFB92CA9C02F46AA07832-SRC_683805253
 852wanderlust香港951, ,住宿日期： 2018年7月,圓山大飯店 (中山區) Grand Hotel Taipei,UID_7064937DE1B9CB961E8467506D000DB2-SRC_682916201
 Jjchui1231, ,住宿日期： 2019年8月,二十輪旅店西門町館 (萬華) Swiio Hotel Ximending,UID_0C8F6D1C0790200750CEF1631D4DD1BB-SRC_698218221
 moonl55香港394, ,住宿日期： 2019年7月,二十輪旅店西門町館 (萬華) Swiio Hotel Ximending,UID_249E580BC12E1E94344A6F906A587CBF-SRC_697611890
 shun26k1, ,住宿日期： 2019年8月,二十輪旅店西門町館 (萬華) Swiio Hotel Ximending,UID_424480471F786D26598A829AD3351161-SRC_696565902
 mamafanfan香港1, ,住宿日期： 2019年7月,二十輪旅店西門町館 (萬華) Swiio Hotel Ximending,UID_1EBA4B4DC0878BC0C1A6977208EC11E6-SRC_694306928
 gguvg1, ,住宿日期： 2019年7月,二十輪旅店西門町館 (萬華) Swiio Hotel Ximending,UID_BAAB6253361FEE42A3D919B26169C623-SRC_692646047
